"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"14","272.57164076240707","266.6955493496507","0.010498046875","0.01513671875","0.005859375","2400","0.0003055852234028029","32","0.0003055852234028029","0","0.0003055852234028029","0.0003055852234028029","15:0.001869456109819534;24:0.003983681426442537;13:0.0024085395943460597;4:0.003022095439889072","15:128;24:228;13:268;4:228","0.010498046875","Yes"
"15","194.61662229345205","207.5221872363446","0.0086669921875","0.012451171875","0.0048828125","2400","0.00011545800594350956","32","0.00011545800594350956","0","0.00011545800594350956","0.00011545800594350956","14:0.001869456109819534;16:0.0013368170558077375;25:0.0024722734781820743;5:0.0014805652820213955","14:128;16:148;25:288;5:128","0.0086669921875","Yes"
"16","392.75733612898625","346.5386592970584","0.0068359375","0.0078125","0.005859375","2400","0.00009707305506978482","32","0.00009707305506978482","0","0.00009707305506978482","0.00009707305506978482","15:0.0013368170558077375;17:0.002773265200160663;26:0.0015311286530363954","15:148;17:128;26:248;6:488","0.0068359375","Yes"
"17","196.80458650494344","233.94391725204756","0.0118408203125","0.018798828125","0.0048828125","2400","0.00019500429650822957","32","0.00019500429650822957","0","0.00019500429650822957","0.00019500429650822957","7:0.0036626265898136445;16:0.002773265200160663;18:0.002021524135255165;27:0.004260794600031287","7:128;16:128;18:128;27:128","0.0118408203125","Yes"
"18","176.62956346638617","168.3158940119928","0.0079345703125","0.0126953125","0.003173828125","2400","0.00013846356831022057","32","0.00013846356831022057","0","0.00013846356831022057","0.00013846356831022057","8:0.0012828462319061373;19:0.002610649169749485;28:0.022635511338543246;17:0.002021524135255165","8:128;19:128;28:88;17:128","0.0079345703125","Yes"
"19","373.6007030693552","385.1272111641248","0.0106201171875","0.011962890625","0.00927734375","2400","0.0002303776253338775","32","0.0002303776253338775","0","0.0002303776253338775","0.0002303776253338775","18:0.002610649169749485;9:0.0018841408331155551;29:0.0345206593766392","18:128;9:128;29:88","0.0106201171875","Yes"
"20","218.5702211685329","215.34106422924668","0.011962890625","0.0107421875","0.0107421875","2400","0.0001633543730947096","32","0.0001633543730947096","0","0.0001633543730947096","0.0001633543730947096","10:0.0012485015045362313;21:0.0032575490742178803;30:0.0012545409995385892","10:128;21:128;30:128","0.011962890625","Yes"
"21","182.7454703477797","213.07914198673458","0.009765625","0.016357421875","0.003173828125","2400","0.0015377073679119482","32","0.0015377073679119482","0","0.0015377073679119482","0.0015377073679119482","20:0.0032575490742178803;22:0.003624234475706478;11:0.003992721268922861","20:128;22:128;31:180;11:128","0.009765625","Yes"
"22","211.59829748666178","178.12993982103168","0.0118408203125","0.0146484375","0.009033203125","2400","0.00036799625884572794","32","0.00036799625884572794","0","0.00036799625884572794","0.00036799625884572794","23:0.0035378876884924193;12:0.0034835917005774375;32:0.0030787135527277354;21:0.003624234475706478","23:148;12:208;32:168;21:128","0.0118408203125","Yes"
"23","379.9519196319276","334.0030261633228","0.033203125","0.045654296875","0.020751953125","2400","0.00047699213243121083","32","0.00047699213243121083","0","0.00047699213243121083","0.00047699213243121083","22:0.0035378876884924193;13:0.0028218938083088285;24:0.00481123110034537;33:0.00218793115748922","22:148;13:228;24:228;33:148","0.033203125","Yes"
"24","567.746383036923","399.09965699745976","0.006591796875","0.009521484375","0.003662109375","2400","0.00019469173031570283","32","0.00019469173031570283","0","0.00019469173031570283","0.00019469173031570283","14:0.003983681426442537;23:0.00481123110034537;25:0.0018981789953138317;34:0.0018930334804513893","14:228;23:228;25:148;34:128","0.006591796875","Yes"
"25","285.07629615092713","265.8160410147323","0.005859375","0.0068359375","0.0048828125","2400","0.00012050379733726294","32","0.00012050379733726294","0","0.00012050379733726294","0.00012050379733726294","15:0.0024722734781820743;24:0.0018981789953138317;26:0.0017065340354464331;35:0.003381655825502289","15:288;24:148;26:128;35:208","0.005859375","Yes"
"26","421.1288248716267","344.05311570824966","0.00830078125","0.011474609375","0.005126953125","2400","0.0001756773990892749","32","0.0001756773990892749","0","0.0001756773990892749","0.0001756773990892749","16:0.0015311286530363954;25:0.0017065340354464331;27:0.001648210500132613;36:0.0026164599493139207","16:248;25:128;27:88;36:268","0.00830078125","Yes"
"27","244.08997931264568","128.37030784462183","0.031494140625","0.019287109375","0.043701171875","2400","0.00019068495281238766","32","0.00019068495281238766","0","0.00019068495281238766","0.00019068495281238766","26:0.001648210500132613;28:0.029769119286415124;17:0.004260794600031287;37:0.003250440085629497","26:88;28:108;17:128;37:108","0.031494140625","Yes"
"28","231.91921231084416","248.95872969793388","0.1175537109375","0.231689453125","0.00341796875","2400","0.0007518621631734071","32","0.0007518621631734071","0","0.0007518621631734071","0.0007518621631734071","18:0.022635511338543246;27:0.029769119286415124;29:0.07345383379838141;38:0.02265968671212068","18:88;27:108;29:68;38:228","0.1175537109375","Yes"
"29","161.97527831295974","152.97893077856432","0.0382080078125","0.071044921875","0.00537109375","2400","0.004027663549488146","32","0.004027663549488146","0","0.004027663549488146","0.004027663549488146","19:0.0345206593766392;28:0.07345383379838141;39:0.04235803059873308","19:88;28:68;39:128","0.0382080078125","Yes"
"30","189.34458313605276","175.77088405322678","0.0076904296875","0.012451171875","0.0029296875","2400","0.000090657190185162","32","0.000090657190185162","0","0.000090657190185162","0.000090657190185162","20:0.0012545409995385892;31:0.0027712625681108882;40:0.001693356350101427","20:128;31:188;40:128","0.0076904296875","Yes"
"31","483.3679091384458","423.52568655402393","0.040283203125","0.059326171875","0.021240234375","2400","0.00018134194448406015","32","0.00018134194448406015","0","0.00018134194448406015","0.00018134194448406015","30:0.0027712625681108882;32:0.004131096121394812;41:0.002739187930924064","30:188;32:188;21:180;41:128","0.040283203125","Yes"
"32","330.1887013032059","257.64492257007186","0.01708984375","0.0224609375","0.01171875","2400","0.0003516514106497332","32","0.0003516514106497332","0","0.0003516514106497332","0.0003516514106497332","22:0.0030787135527277354;31:0.004131096121394812;33:0.0039793004510410845;42:0.003036337267150163","22:168;31:188;33:208;42:188","0.01708984375","Yes"
"33","375.6432386934744","319.81980923942155","0.01318359375","0.017578125","0.0087890625","2400","0.0003249512541673802","32","0.0003249512541673802","0","0.0003249512541673802","0.0003249512541673802","23:0.00218793115748922;32:0.0039793004510410845;34:0.0028631012489568064;43:0.002803075109236025","23:148;32:208;34:128;43:248","0.01318359375","Yes"
"34","242.93330091408916","203.40376031347816","0.0096435546875","0.016845703125","0.00244140625","2400","0.0003196239817470482","32","0.0003196239817470482","0","0.0003196239817470482","0.0003196239817470482","24:0.0018930334804513893;33:0.0028631012489568064;35:0.0029151995360554572;44:0.0026175083746894368","24:128;33:128;35:68;44:128","0.0096435546875","Yes"
"35","523.194624159278","340.34224653946285","0.0159912109375","0.020751953125","0.01123046875","2400","0.00017608356363056602","32","0.00017608356363056602","0","0.00017608356363056602","0.00017608356363056602","25:0.003381655825502289;36:0.002292803213370276;45:0.003761574263543843;34:0.0029151995360554572","25:208;36:108;45:148;34:68","0.0159912109375","Yes"
"36","168.0683525587985","167.71511903719235","0.0120849609375","0.012939453125","0.01123046875","2400","0.00014734281697735218","32","0.00014734281697735218","0","0.00014734281697735218","0.00014734281697735218","46:0.003131039195272356;26:0.0026164599493139207;35:0.002292803213370276;37:0.003096972142431237","46:148;26:268;35:108;37:88","0.0120849609375","Yes"
"37","395.61832379371685","228.34372312110114","0.0120849609375","0.00732421875","0.010009765625","2400","0.0002754322626470888","32","0.0002754322626470888","0","0.0002754322626470888","0.0002754322626470888","27:0.003250440085629497;36:0.003096972142431237;38:0.004499054610358183;47:0.014886699476248488","27:108;36:88;38:148;47:148","0.0120849609375","Yes"
"38","514.3140163351314","320.79790046157814","0.0118408203125","0.016845703125","0.0068359375","2400","0.0001540964949003838","32","0.0001540964949003838","0","0.0001540964949003838","0.0001540964949003838","39:0.0024186363797969457;48:0.12172702809992875;28:0.02265968671212068;37:0.004499054610358183","39:168;48:188;28:228;37:148","0.0118408203125","Yes"
"39","393.3299329512767","380.938451217287","0.0108642578125","0.01171875","0.010009765625","2400","0.0001584333339506949","32","0.0001584333339506949","0","0.0001584333339506949","0.0001584333339506949","38:0.0024186363797969457;29:0.04235803059873308;49:0.001700806070566524","38:168;29:128;49:208","0.0108642578125","Yes"
"40","432.1590646902002","374.9505742085868","0.017578125","0.021728515625","0.013427734375","2400","0.00012483721249649686","32","0.00012483721249649686","0","0.00012483721249649686","0.00012483721249649686","41:0.0019137307923066949;50:0.0011995502876209485;30:0.001693356350101427","41:128;50:128;30:128","0.017578125","Yes"
"41","354.7100156573771","257.1365251565371","0.0130615234375","0.0146484375","0.011474609375","2400","0.00020408462942832366","32","0.00020408462942832366","0","0.00020408462942832366","0.00020408462942832366","40:0.0019137307923066949;42:0.002302589177111042;51:0.0022578476460431707;31:0.002739187930924064","40:128;42:128;51:128;31:128","0.0130615234375","Yes"
"42","386.6023413318753","263.9125617377715","0.013427734375","0.018798828125","0.008056640625","2400","0.00019116604993365649","32","0.00019116604993365649","0","0.00019116604993365649","0.00019116604993365649","41:0.002302589177111042;43:0.0026750032039501437;52:0.0030136041265884095;32:0.003036337267150163","41:128;43:128;52:128;32:188","0.013427734375","Yes"
"43","304.3153104791035","308.0163000376777","0.0069580078125","0.008544921875","0.00537109375","2400","0.0003826716699316802","32","0.0003826716699316802","0","0.0003826716699316802","0.0003826716699316802","42:0.0026750032039501437;44:0.0019062782720580262;33:0.002803075109236025;53:0.001512413608491553","42:128;44:188;33:248;53:128","0.0069580078125","Yes"
